from_Object,from_Description,Relation,to_Object,to_Description
Lamps,Cold cathode fluorescent lamps (CCFL) for special purposes (per lamp) with short length (≤ 500 mm),BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,Cold cathode fluorescent lamps(CCFL) for special purposes (per lamp) with long length (> 1 500 mm),BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,Cold cathode fluorescent lamps(CCFL) for special purposes (per lamp) with medium length (> 500 mm and ≤ 1 500 mm),BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,"Double-capped linear fluorescent lamps for general lighting purposes (per lamp), which used Tri-band phosphor with long lifetime (≥ 25 000 h)",BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,"Double-capped linear fluorescent lamps for general lighting purposes (per lamp), which used Tri-band phosphor with normal lifetime and a tube diameter < 9 mm (e.g. T2)",BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,"Double-capped linear fluorescent lamps for general lighting purposes (per lamp), which used Tri-band phosphor with normal lifetime and a tube diameter > 17 mm and ≤ 28 mm (e.g. T8)",BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,"Double-capped linear fluorescent lamps for general lighting purposes (per lamp), which used Tri-band phosphor with normal lifetime and a tube diameter > 28 mm (e.g. T12)",BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,"Double-capped linear fluorescent lamps for general lighting purposes (per lamp), which used Tri-band phosphor with normal lifetime and a tube diameter ≥ 9 mm and ≤ 17 mm (e.g. T5)",BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,External electrode fluorescent lamps (EEFL) for special purposes (per lamp) with long length (> 1 500 mm),BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,External electrode fluorescent lamps (EEFL) for special purposes (per lamp) with medium length (> 500 mm and ≤ 1 500 mm),BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,External electrode fluorescent lamps (EEFL) for special purposes (per lamp) with short length (≤ 500 mm),BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,High Pressure Sodium (vapour) lamps for general lighting purposes (per burner) in lamps with improved colour rendering index Ra > 60 and 155 W < P ≤ 405 W,BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,High Pressure Sodium (vapour) lamps for general lighting purposes (per burner) in lamps with improved colour rendering index Ra > 60 and P > 405 W,BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,High Pressure Sodium (vapour) lamps for general lighting purposes (per burner) in lamps with improved colour rendering index Ra > 60 and P ≤ 155 W,BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,"High Pressure Sodium (vapour) lamps for general lighting purposes (per burner), 155 W < P ≤ 405 W",BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,"High Pressure Sodium (vapour) lamps for general lighting purposes (per burner), P ≤ 155 W",BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,Lamps for other general lighting and special purposes (e.g. induction lamps),BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,Metal halide lamps (MH),BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,Non-linear tri-band phosphor lamps with tube diameter > 17 mm (e.g. T9),BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,Other discharge lamps for special purposes not specifically mentioned in this Annex,BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,Other low pressure discharge lamps (per lamp),BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
Lamps,Single capped (compact) fluorescent lamps (per burner) for general lighting purposes < 30 W,BELONG_TO,Electrical and electronic equipment,"Equipment is dependent on electric currents or electromagnetic fields in order to work properly and equipment for the generation, transfer and measurement of such currents and fields and designed for use with a voltage rating not exceeding 1 000 volts for alternating current and 1 500 volts for direct current"
